,ID,Tweets
176,1338968039711256577,"RT @_PLICE: Started with her asking 
""Hi, can you teach me how to dance like you?""

That lesson is about to last a lifetime😅

To forever, L…"
177,1338968039195365383,RT @sex_abuse_news: Ballet teacher guilty of touching boy in Delaware sentenced in PA on child sex charges  The News Journal https://t.co/9…
178,1338968035202306055,"Las mejores diez series estrenadas en 2020 (para mí, eh) deberían quedar en este orden: 

Better Call Saul (S05)
In… https://t.co/97RU6qppFj"
179,1338968033147183107,"In S2 we had the ep 19 sucking face kiss, the dance in their room kisses, the undressing R bathtub scene, the Istan… https://t.co/uZfnGbmU9s"
180,1338968029925961730,Don’t normally mix my disparate interests on here but today was a good day. Resolved a thorny business issue to sec… https://t.co/IQ8HWZ6LhG
181,1338968029158322183,"RT @OfficialMonstaX: 🎥
201215 #몬스타엑스
#Dance_Practice
#LoveKilla Costume ver.

💘
#MONSTAX #MONSTA_X
#MONSTAX_LoveKilla
#몬스타엑스_러브킬라 #러브킬라…"
182,1338968028793356288,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
183,1338968025156833280,"There you were, in your black dress. Moving slow, to the sadness. I could watch you dance for hours. I could take you by my side. - fire"
184,1338968016793575428,"Bourrée (historical) is a dance form, and it has a technique, too!"
185,1338968013295464448,RT @cdeloire: .@realDonaldTrump has been no friend to journalism in his four years in office. But he has one last chance to improve his pre…
186,1338968008685969409,RT @With1DNews: Liam said the No Control dance was the first tiktok dance before tiktok became a thing.
187,1338968007683530756,YT Coworker said my ugly Christmas sweater reminded him of Carlton. Then he and another coworker asked me to do the… https://t.co/qvZYIyUP2u
188,1338968007213781000,@dance_A_lilbit Go crazy!!!!!!
189,1338967990272929801,Hello ☺Artist? What art do you make music dance or drawing ? — Digital art and photography~ https://t.co/4GvjXOXRP7
190,1338967990084251651,"RT @citadelcie: Our friends at @TOdancetheatre are co-hosting a virtual dance party w/ @CCOV_mtl this Thursday - check it out!

https://t.c…"
191,1338967988343607296,"#NowPlaying Made of Light feat. Jess Morgan (Original Mix) by Alan Morris, Jess Morgan https://t.co/hlNbJy8VZt https://t.co/eB4nyCtyvv"
192,1338967984245776384,Ouu diamond Dey dance Ar15 wit da fan
193,1338967981909532679,"RT @NewTimesRwanda: Co-founder, Rogers Tumukunde:“We are all deaf, so to dance with the rhythm, we get the beat from the ground. You cannot…"
194,1338967981150203904,"RT @Variety: Naomi Ackie will play Whitney Houston in the upcoming musical biopic ""I Wanna Dance With Somebody"" from ""The Photograph"" direc…"
195,1338967976419069952,"RT @HatfieldAnne: Now really, why put the manger in the center of the nativity? Leave the middle open for the dance floor."
196,1338967975865569281,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
197,1338967974225580032,RT @aplethoras: it makes me so irrationally angry when two dashes don't autocorrect to the em dash. am i a joke to you? shall i put on my l…
198,1338967967367761920,@cherryrae Yes! As a migraineur who accidentally stumbled on one of the brain dance sequences while browsing stream… https://t.co/yNHlerTHhM
199,1338967965107150848,RT @Iemonade: the fact that p!nk parodied the single ladies dance on tour during stupid girls and bey had to remind her she could take her…
200,1338967962204692480,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
201,1338967958190690310,@PlanetJCG @AnneReidActress My wife wears steel shoes when we dance
202,1338967956152340488,"""Different Type of Dance Shoes"" now posted on the blog!"
203,1338967954654900230,I wanna see Meg dance to Throat Baby one good time. Do the crybaby on the beat real quick.
204,1338967953157599232,RT @amaniworthamm: @Da_MarcoPolo Niggas don’t tip enough on the bottle for me to have a whole dance routine coming out lol
205,1338967949982400517,Now playing Now I Know What Made Otis Blue by Paul Young music best hits rock pop dance on https://t.co/hivKkt0LQP https://t.co/aYZDMUka6q
206,1338967948099276801,ta tocando slow dance in the dark kkkjkkk vou pular
207,1338967938766958603,@UWFChrisSpade #OOC Bischoff was a one trick pony...he figured as long as he had Hogan and the nWo he's unbeatable.… https://t.co/NuKlf9pO4D
208,1338967937206640647,RT @aplethoras: it makes me so irrationally angry when two dashes don't autocorrect to the em dash. am i a joke to you? shall i put on my l…
209,1338967936594276352,One thing I hate the absolute most is when y’all make up dances and the dance is messy 😖
210,1338967933918179330,"Request please
Bryan Ferry 
Don't stop the dance

#gps897"
